session_id,round,action,reward,split
1,10,terminate,0.8623999999999999,train
1,10,terminate,0.87005,train
1,10,terminate,0.8916999999999999,train
1,10,terminate,0.9071,train
1,10,terminate,0.9242999999999999,train
1,10,terminate,0.9126,train
1,10,terminate,0.9100999999999999,train
1,10,terminate,0.8928,train
1,10,terminate,0.9020999999999999,train
1,10,terminate,0.8980999999999999,train
2,8,terminate,0.8573,train
2,8,terminate,0.8787499999999999,train
2,8,terminate,0.878,train
2,8,terminate,0.8976,train
2,8,terminate,0.8932,train
2,8,terminate,0.9027999999999999,train
2,8,terminate,0.8865999999999999,train
2,8,terminate,0.9061,train
3,8,terminate,0.9163999999999999,train
3,8,terminate,0.9240499999999999,train
3,8,terminate,0.9199999999999999,train
3,8,terminate,0.9100999999999999,train
3,8,terminate,0.8999999999999999,train
3,8,terminate,0.9100999999999999,train
3,8,terminate,0.9064,train
3,8,terminate,0.9056,train
4,9,terminate,0.8399,train
4,9,terminate,0.86945,train
4,9,terminate,0.8787999999999999,train
4,9,terminate,0.8975,train
4,9,terminate,0.9002,train
4,9,terminate,0.8942,train
4,9,terminate,0.8917999999999999,train
4,9,terminate,0.8873,train
4,9,terminate,0.8876999999999999,train
5,7,terminate,0.8800999999999999,train
5,7,terminate,0.875,train
5,7,terminate,0.8785,train
5,7,terminate,0.8875,train
5,7,terminate,0.8885,train
5,7,terminate,0.8929,train
5,7,terminate,0.8829,train
6,7,terminate,0.9139999999999999,val
6,7,terminate,0.8888,val
6,7,terminate,0.8909,val
6,7,terminate,0.8795999999999999,val
6,7,terminate,0.8971,val
6,7,terminate,0.8894,val
6,7,terminate,0.8906999999999999,val
7,10,terminate,0.8452999999999999,test
7,10,terminate,0.87905,test
7,10,terminate,0.8877999999999999,test
7,10,terminate,0.9055,test
7,10,terminate,0.9055,test
7,10,terminate,0.8926,test
7,10,terminate,0.8852,test
7,10,terminate,0.8734999999999999,test
7,10,terminate,0.8776999999999999,test
7,10,terminate,0.8839999999999999,test
8,7,terminate,0.8908999999999999,test
8,7,terminate,0.8967499999999999,test
8,7,terminate,0.8944,test
8,7,terminate,0.8876,test
8,7,terminate,0.8789,test
8,7,terminate,0.8759,test
8,7,terminate,0.8755,test
9,11,terminate,0.8725999999999999,train
9,11,terminate,0.87995,train
9,11,terminate,0.8904,train
9,11,terminate,0.8912,train
9,11,terminate,0.8936999999999999,train
9,11,terminate,0.8933,train
9,11,terminate,0.8932,train
9,11,terminate,0.8876,train
9,11,terminate,0.8767,train
9,11,terminate,0.8793,train
9,11,terminate,0.8826999999999999,train
10,9,terminate,0.9275,train
10,9,terminate,0.92225,train
10,9,terminate,0.9253,train
10,9,terminate,0.9134,train
10,9,terminate,0.9200999999999999,train
10,9,terminate,0.9087999999999999,train
10,9,terminate,0.9254,train
10,9,terminate,0.9098999999999999,train
10,9,terminate,0.9134,train
11,9,terminate,0.9250999999999999,train
11,9,terminate,0.9252499999999999,train
11,9,terminate,0.9259999999999999,train
11,9,terminate,0.9278,train
11,9,terminate,0.9294,train
11,9,terminate,0.9360999999999999,train
11,9,terminate,0.9299,train
11,9,terminate,0.9202,train
11,9,terminate,0.9122,train
12,3,terminate,0.9349999999999999,val
12,3,terminate,0.9411499999999999,val
12,3,terminate,0.9311,val
13,10,terminate,0.8947999999999999,train
13,10,terminate,0.90845,train
13,10,terminate,0.9121999999999999,train
13,10,terminate,0.9107999999999999,train
13,10,terminate,0.8984,train
13,10,terminate,0.9007999999999999,train
13,10,terminate,0.9007,train
13,10,terminate,0.9002,train
13,10,terminate,0.882,train
13,10,terminate,0.8803,train
14,11,terminate,0.9169999999999999,train
14,11,terminate,0.9061999999999999,train
14,11,terminate,0.8996,train
14,11,terminate,0.9017999999999999,train
14,11,terminate,0.9178,train
14,11,terminate,0.9267,train
14,11,terminate,0.9233,train
14,11,terminate,0.9119999999999999,train
14,11,terminate,0.9020999999999999,train
14,11,terminate,0.8886,train
14,11,terminate,0.8773,train
15,8,terminate,0.9095,train
15,8,terminate,0.89945,train
15,8,terminate,0.8966999999999999,train
15,8,terminate,0.8931,train
15,8,terminate,0.9012,train
15,8,terminate,0.9128,train
15,8,terminate,0.9193,train
15,8,terminate,0.9193,train
16,3,terminate,0.8714,train
16,3,terminate,0.90035,train
16,3,terminate,0.9127,train
17,8,terminate,0.9032,train
17,8,terminate,0.8968999999999999,train
17,8,terminate,0.8998999999999999,train
17,8,terminate,0.9075,train
17,8,terminate,0.9100999999999999,train
17,8,terminate,0.8980999999999999,train
17,8,terminate,0.8942,train
17,8,terminate,0.8965,train
18,11,terminate,0.8963,test
18,11,terminate,0.8928499999999999,test
18,11,terminate,0.8983,test
18,11,terminate,0.9051,test
18,11,terminate,0.913,test
18,11,terminate,0.9092,test
18,11,terminate,0.9032,test
18,11,terminate,0.901,test
18,11,terminate,0.8995,test
18,11,terminate,0.8971,test
18,11,terminate,0.8902,test
19,8,terminate,0.8908999999999999,test
19,8,terminate,0.8769499999999999,test
19,8,terminate,0.8786999999999999,test
19,8,terminate,0.882,test
19,8,terminate,0.8956,test
19,8,terminate,0.9017999999999999,test
19,8,terminate,0.8997999999999999,test
19,8,terminate,0.893,test
20,9,terminate,0.8596999999999999,test
20,9,terminate,0.86705,test
20,9,terminate,0.8863,test
20,9,terminate,0.8980999999999999,test
20,9,terminate,0.9125,test
20,9,terminate,0.9066,test
20,9,terminate,0.9109999999999999,test
20,9,terminate,0.8998999999999999,test
20,9,terminate,0.8941,test
21,8,terminate,0.8591,train
21,8,terminate,0.8887999999999999,train
21,8,terminate,0.8879999999999999,train
21,8,terminate,0.8938999999999999,train
21,8,terminate,0.8899999999999999,train
21,8,terminate,0.8984,train
21,8,terminate,0.9033,train
21,8,terminate,0.8931,train
22,10,terminate,0.9329,train
22,10,terminate,0.9271999999999999,train
22,10,terminate,0.9129999999999999,train
22,10,terminate,0.9021999999999999,train
22,10,terminate,0.8993,train
22,10,terminate,0.9104,train
22,10,terminate,0.9160999999999999,train
22,10,terminate,0.9201999999999999,train
22,10,terminate,0.9233,train
22,10,terminate,0.9229999999999999,train
23,9,terminate,0.8936,train
23,9,terminate,0.8910499999999999,train
23,9,terminate,0.9007999999999999,train
23,9,terminate,0.9097,train
23,9,terminate,0.9222999999999999,train
23,9,terminate,0.9263999999999999,train
23,9,terminate,0.9097999999999999,train
23,9,terminate,0.9114,train
23,9,terminate,0.9035,train
24,7,terminate,0.8848999999999999,train
24,7,terminate,0.8975,train
24,7,terminate,0.9080999999999999,train
24,7,terminate,0.9166,train
24,7,terminate,0.9311999999999999,train
24,7,terminate,0.9309,train
24,7,terminate,0.9246,train
25,10,terminate,0.8378,train
25,10,terminate,0.8765,train
25,10,terminate,0.8884,train
25,10,terminate,0.9052,train
25,10,terminate,0.9019999999999999,train
25,10,terminate,0.8885,train
25,10,terminate,0.8792,train
25,10,terminate,0.865,train
25,10,terminate,0.8668,train
25,10,terminate,0.8724,train
26,8,terminate,0.8452999999999999,train
26,8,terminate,0.8681,train
26,8,terminate,0.8717999999999999,train
26,8,terminate,0.8855,train
26,8,terminate,0.8878999999999999,train
26,8,terminate,0.8965,train
26,8,terminate,0.9013,train
26,8,terminate,0.9031,train
27,7,terminate,0.8395999999999999,train
27,7,terminate,0.8493499999999999,train
27,7,terminate,0.8634,train
27,7,terminate,0.8818999999999999,train
27,7,terminate,0.8946,train
27,7,terminate,0.8966999999999999,train
27,7,terminate,0.8838999999999999,train
28,8,terminate,0.905,train
28,8,terminate,0.89315,train
28,8,terminate,0.8926999999999999,train
28,8,terminate,0.8875,train
28,8,terminate,0.8839999999999999,train
28,8,terminate,0.8873,train
28,8,terminate,0.8849,train
28,8,terminate,0.8854,train
29,7,terminate,0.9208999999999999,train
29,7,terminate,0.9086,train
29,7,terminate,0.9155,train
29,7,terminate,0.9181999999999999,train
29,7,terminate,0.9358,train
29,7,terminate,0.9277,train
29,7,terminate,0.921,train
30,10,terminate,0.8725999999999999,train
30,10,terminate,0.8984,train
30,10,terminate,0.9126,train
30,10,terminate,0.9349,train
30,10,terminate,0.939,train
30,10,terminate,0.9253,train
30,10,terminate,0.9191,train
30,10,terminate,0.8956,train
30,10,terminate,0.9008999999999999,train
30,10,terminate,0.8865999999999999,train
31,11,terminate,0.953,train
31,11,terminate,0.9446,train
31,11,terminate,0.9571999999999999,train
31,11,terminate,0.9621,train
31,11,terminate,0.9733999999999998,train
31,11,terminate,0.96,train
31,11,terminate,0.9522999999999999,train
31,11,terminate,0.9413,train
31,11,terminate,0.9263,train
31,11,terminate,0.9103,train
31,11,terminate,0.9014,train
32,7,terminate,0.9266,train
32,7,terminate,0.9390499999999999,train
32,7,terminate,0.948,train
32,7,terminate,0.9506,train
32,7,terminate,0.9559,train
32,7,terminate,0.9483999999999999,train
32,7,terminate,0.9529,train
33,10,terminate,0.9473,train
33,10,terminate,0.9592999999999999,train
33,10,terminate,0.9487999999999999,train
33,10,terminate,0.947,train
33,10,terminate,0.9396,train
33,10,terminate,0.9418,train
33,10,terminate,0.941,train
33,10,terminate,0.9369999999999999,train
33,10,terminate,0.9305,train
33,10,terminate,0.9279999999999999,train
34,4,terminate,0.9143,train
34,4,terminate,0.9118999999999999,train
34,4,terminate,0.9153,train
34,4,terminate,0.9175,train
35,10,terminate,0.8669,test
35,10,terminate,0.8829499999999999,test
35,10,terminate,0.8934,test
35,10,terminate,0.9119999999999999,test
35,10,terminate,0.9248999999999999,test
35,10,terminate,0.9240999999999999,test
35,10,terminate,0.9276,test
35,10,terminate,0.9214,test
35,10,terminate,0.9228,test
35,10,terminate,0.9183,test
36,4,terminate,0.9227,val
36,4,terminate,0.9201499999999999,val
36,4,terminate,0.9253,val
36,4,terminate,0.9210999999999999,val
37,7,terminate,0.9202999999999999,val
37,7,terminate,0.9273499999999999,val
37,7,terminate,0.9091,val
37,7,terminate,0.9104,val
37,7,terminate,0.8943,val
37,7,terminate,0.9092,val
37,7,terminate,0.905,val
38,9,terminate,0.8605999999999999,train
38,9,terminate,0.8792,train
38,9,terminate,0.8841,train
38,9,terminate,0.8966999999999999,train
38,9,terminate,0.8998999999999999,train
38,9,terminate,0.9064,train
38,9,terminate,0.9007999999999999,train
38,9,terminate,0.8889,train
38,9,terminate,0.8728,train
39,7,terminate,0.8663,test
39,7,terminate,0.8723,test
39,7,terminate,0.8785,test
39,7,terminate,0.8745999999999999,test
39,7,terminate,0.8885,test
39,7,terminate,0.8957999999999999,test
39,7,terminate,0.9068999999999999,test
40,9,terminate,0.9104,train
40,9,terminate,0.8885,train
40,9,terminate,0.8911,train
40,9,terminate,0.8944,train
40,9,terminate,0.9052,train
40,9,terminate,0.9041999999999999,train
40,9,terminate,0.8978999999999999,train
40,9,terminate,0.9037999999999999,train
40,9,terminate,0.8991,train
41,11,terminate,0.869,test
41,11,terminate,0.88415,test
41,11,terminate,0.8997999999999999,test
41,11,terminate,0.9248,test
41,11,terminate,0.9171,test
41,11,terminate,0.9235,test
41,11,terminate,0.9097999999999999,test
41,11,terminate,0.9228,test
41,11,terminate,0.893,test
41,11,terminate,0.899,test
41,11,terminate,0.9032,test
42,7,terminate,0.866,train
42,7,terminate,0.88655,train
42,7,terminate,0.8919999999999999,train
42,7,terminate,0.9005,train
42,7,terminate,0.8952,train
42,7,terminate,0.9012,train
42,7,terminate,0.9125,train
43,10,terminate,0.9139999999999999,train
43,10,terminate,0.9129499999999999,train
43,10,terminate,0.8962,train
43,10,terminate,0.8917999999999999,train
43,10,terminate,0.8766999999999999,train
43,10,terminate,0.8812,train
43,10,terminate,0.8899999999999999,train
43,10,terminate,0.9011,train
43,10,terminate,0.9138,train
43,10,terminate,0.9068999999999999,train
44,7,terminate,0.887,test
44,7,terminate,0.8886499999999999,test
44,7,terminate,0.8897999999999999,test
44,7,terminate,0.8968999999999999,test
44,7,terminate,0.8986,test
44,7,terminate,0.895,test
44,7,terminate,0.8859999999999999,test
45,10,terminate,0.8827999999999999,train
45,10,terminate,0.9009499999999999,train
45,10,terminate,0.9055,train
45,10,terminate,0.9054,train
45,10,terminate,0.8896999999999999,train
45,10,terminate,0.8668,train
45,10,terminate,0.8733,train
45,10,terminate,0.8845,train
45,10,terminate,0.8949,train
45,10,terminate,0.894,train
46,9,terminate,0.9229999999999999,train
46,9,terminate,0.90965,train
46,9,terminate,0.8967999999999999,train
46,9,terminate,0.8996,train
46,9,terminate,0.9073,train
46,9,terminate,0.9189999999999999,train
46,9,terminate,0.9064,train
46,9,terminate,0.9069999999999999,train
46,9,terminate,0.8999999999999999,train
47,8,terminate,0.8614999999999999,test
47,8,terminate,0.8785999999999999,test
47,8,terminate,0.8829,test
47,8,terminate,0.8936,test
47,8,terminate,0.8978999999999999,test
47,8,terminate,0.8923,test
47,8,terminate,0.8906999999999999,test
47,8,terminate,0.8849,test
48,8,terminate,0.9197,train
48,8,terminate,0.8958499999999999,train
48,8,terminate,0.9065,train
48,8,terminate,0.9013,train
48,8,terminate,0.9168999999999999,train
48,8,terminate,0.9158,train
48,8,terminate,0.9107,train
48,8,terminate,0.9065,train
49,7,terminate,0.8800999999999999,test
49,7,terminate,0.8989999999999999,test
49,7,terminate,0.9080999999999999,test
49,7,terminate,0.8973,test
49,7,terminate,0.8835999999999999,test
49,7,terminate,0.882,test
49,7,terminate,0.9047999999999999,test
50,11,terminate,0.8402,val
50,11,terminate,0.8627,val
50,11,terminate,0.8776999999999999,val
50,11,terminate,0.899,val
50,11,terminate,0.8872,val
50,11,terminate,0.8837999999999999,val
50,11,terminate,0.8801,val
50,11,terminate,0.8887999999999999,val
50,11,terminate,0.8829,val
50,11,terminate,0.8827999999999999,val
50,11,terminate,0.8802,val
51,10,terminate,0.8387,train
51,10,terminate,0.8825,train
51,10,terminate,0.8915,train
51,10,terminate,0.9166,train
51,10,terminate,0.9113,train
51,10,terminate,0.9120999999999999,train
51,10,terminate,0.9078999999999999,train
51,10,terminate,0.9038999999999999,train
51,10,terminate,0.9047999999999999,train
51,10,terminate,0.8955,train
52,8,terminate,0.9382999999999999,train
52,8,terminate,0.9270499999999999,train
52,8,terminate,0.9173,train
52,8,terminate,0.9040999999999999,train
52,8,terminate,0.8960999999999999,train
52,8,terminate,0.8992,train
52,8,terminate,0.8995,train
52,8,terminate,0.9016,train
